No	キーワード	SEO難易度	月間検索数	判定	検索意図	元トピック	ページID	ターゲットURL	ページタイトル案	振り分け理由
380	仲介手数料 二重	20	20	記事	Know（業界の仕組み・慣習を知りたい）	仕組み解説	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「仕組み解説」
381	仲介手数料 ニッショー	35	260	削除		ブランドKW				ブランドKW
382	仲介手数料 二ヶ月分	24	0	削除						
383	仲介手数料 20万円以上 国税庁	N/A	0	削除						
384	仲介手数料 抜き行為	27	10	記事	Know（業界の仕組み・慣習を知りたい）	業界の仕組み	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「業界の仕組み」
385	仲介手数料 値引き	37	210	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
386	仲介手数料 値引き交渉	44	110	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
387	仲介手数料 値切る	37	880	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
388	仲介手数料 値切る客	35	1000	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
389	仲介手数料 値下げ	43	40	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
390	仲介手数料 値切り方	46	50	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
391	仲介手数料 値切れるか	N/A	0	削除						
392	仲介手数料 値段	44	30	記事	Know（いくら払うのか相場を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
393	仲介手数料 値切れる	28	880	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
394	仲介手数料 値切る 賃貸	43	20	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
395	仲介手数料 載ってない	41	0	削除						
396	仲介手数料 ノルマ	41	0	削除						
397	仲介手数料 野村不動産	45	0	削除						
398	仲介手数料 のれん	N/A	0	削除						
399	仲介手数料 農地	N/A	0	削除						
400	m&a 仲介手数料 のれん	N/A	0	削除						
401	野村不動産 仲介手数料 割引	29	70	削除		ブランドKW				ブランドKW
402	野村の仲介 仲介手数料	45	20	記事	Know（業界の仕組み・慣習を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
403	野村 仲介手数料 割引	N/A	0	削除						
404	農地売買 仲介手数料	23	40	記事	Know（売買の手数料ルールを知りたい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
405	仲介手数料 半額	34	480	記事	Buy（手数料を安くする方法を探したい）	安くする方法	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「安くする方法」
406	仲介手数料 半額 不動産	35	320	記事	Know（不動産取引の手数料全体を知りたい）	不動産関連	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「不動産関連」
407	仲介手数料 払いたくない	34	140	記事	Do（手数料を払わずに済ませたい）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
408	仲介手数料 払わなくていい	49	50	記事	Do（手数料を払わずに済ませたい）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
409	仲介手数料 払うタイミング	45	40	記事	Know（いつ・どう払うのかわからない）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
410	仲介手数料 半分	N/A	40	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
411	仲介手数料 半金	26	30	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	その他 → article-12に振り分け
412	仲介手数料 ハウスメイト	N/A	0	削除						
413	仲介手数料 費用計上	33	10	記事	Know（経費にできるか知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
414	仲介手数料 引き上げ	46	10	記事	Know（法改正が自分に影響するか知りたい）	その他（要確認）	article-13	/tools/brokerage/reform-2024	2024年仲介手数料の法改正	その他 → article-13に振り分け
415	仲介手数料 比較	32	50	記事	Buy（安い不動産会社を見つけたい）	比較・ランキング	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「比較・ランキング」
416	仲介手数料 非課税	43	30	記事	Know（税金の扱いを知りたい）	税金関連	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「税金関連」
417	仲介手数料 100万円	43	10	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
418	仲介手数料 必要経費	32	10	記事	Know（経費にできるか知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
419	仲介手数料 必要	43	10	記事	Do（手数料を払わずに済ませたい）	節約・回避	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「節約・回避」
420	仲介手数料 100万円以下	42	30	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
421	仲介手数料 費用	47	10	記事	Know（手数料の計算ルールを知りたい）	費用の内訳	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	トピック「費用の内訳」
422	仲介手数料 非課税業者	N/A	10	記事	Know（税金の扱いを知りたい）	税金関連	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「税金関連」
423	仲介手数料 不動産売買 計算	31	10	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
424	仲介手数料 不動産売却	40	880	記事	Know（売却時の手数料を把握したい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
425	仲介手数料 不要	34	90	記事	Do（手数料を払わずに済ませたい）	節約・回避	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「節約・回避」
426	仲介手数料 平均	31	170	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
427	仲介手数料 変更	22	40	記事	Know（法改正が自分に影響するか知りたい）	その他（要確認）	article-13	/tools/brokerage/reform-2024	2024年仲介手数料の法改正	その他 → article-13に振り分け
428	仲介手数料 返金	28	50	記事	Do（払った手数料を取り戻したい）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
429	仲介手数料 減らす方法	N/A	0	削除						
430	仲介手数料 平均 賃貸	N/A	10	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
431	仲介手数料 返還請求	29	10	記事	Do（払った手数料を取り戻したい）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
432	仲介手数料 法律	26	390	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
433	仲介手数料 法律 上限	24	110	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
434	仲介手数料 法改正	34	70	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
435	仲介手数料 本体価格	N/A	0	削除						
436	仲介手数料 法定	46	40	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
437	仲介手数料 法定調書	33	30	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
438	仲介手数料 法定手数料	N/A	0	削除						
439	仲介手数料 報酬額	46	30	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	その他 → article-14に振り分け
440	仲介手数料 法人税	N/A	10	記事	Know（税金の扱いを知りたい）	税金関連	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「税金関連」
441	仲介手数料 ホームメイト	34	480	削除		ブランドKW				ブランドKW
442	仲介手数料 マンション	26	590	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
443	仲介手数料 満額	50	20	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	その他 → article-14に振り分け
444	仲介手数料 毎月払う	30	20	記事	Know（いつ・どう払うのかわからない）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
445	仲介手数料 マンション売却	38	720	記事	Know（売却時の手数料を把握したい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
446	仲介手数料 マンション購入	25	260	記事	Know（購入時の手数料を把握したい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
447	仲介手数料 マックス	44	0	削除						
448	仲介手数料 前払い	28	20	記事	Know（前払費用の処理を知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
449	仲介手数料 前払費用	32	10	記事	Know（前払費用の処理を知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
450	仲介手数料 マージン	42	0	削除						
451	仲介手数料 満額とは	N/A	0	削除						
452	仲介手数料 三井のリハウス	34	260	削除		ブランドKW				ブランドKW
453	仲介手数料 ミニミニ	34	1600	削除		ブランドKW				ブランドKW
454	仲介手数料 見積書	22	20	記事	Do（請求された手数料が正しいか確認したい）	確認方法	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「確認方法」
455	仲介手数料 見方	41	0	削除						
456	仲介手数料 未払い	41	10	記事	Know（いつ・どう払うのかわからない）	その他（要確認）	article-07	/tools/brokerage/law	仲介手数料の上限と法律	その他 → article-07に振り分け
457	仲介手数料 無料	34	4400	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
458	仲介手数料 無料 不動産	26	1300	記事	Know（無料の不動産会社を探したい）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
459	仲介手数料 無料 賃貸	34	1900	記事	Know（賃貸で手数料を安くする方法を知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
460	仲介手数料 無料 なぜ	34	480	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
461	仲介手数料 無料 からくり	34	880	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
462	仲介手数料 無料 不動産 賃貸	25	90	記事	Know（賃貸で手数料を安くする方法を知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
463	仲介手数料 無料 サイト	19	140	記事	Know（無料の不動産会社を探したい）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
464	仲介手数料 無料 デメリット	34	480	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
465	仲介手数料 無料にする方法	49	20	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
466	仲介手数料 無料 東京	20	170	削除		地域KW				地域KW
467	仲介手数料 目安	41	40	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
468	仲介手数料 免税業者	25	10	記事	Know（税金の扱いを知りたい）	税金関連	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「税金関連」
469	仲介手数料 名義変更	29	0	削除						
470	仲介手数料 免除	45	0	削除						
471	仲介手数料 メリット	30	10	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
472	仲介手数料 名目	N/A	0	削除						
473	仲介手数料 明細書	32	0	削除						
474	仲介手数料 免許	N/A	0	削除						
475	仲介手数料 免税	26	0	削除						
476	仲介手数料 メリット デメリット	33	0	削除						
477	仲介手数料 元付 客付	41	0	削除						
478	仲介手数料 求め方	30	30	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
479	仲介手数料 両手取り	40	10	記事	Know（業界の仕組み・慣習を知りたい）	仕組み解説	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「仕組み解説」
480	仲介手数料 申込金	24	0	削除						
481	仲介手数料 申し込み後 交渉	48	10	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
482	仲介手数料 戻ってくる	29	0	削除						
483	仲介手数料 安くする方法	37	140	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
484	仲介手数料 安い	40	260	記事	Buy（手数料を安くする方法を探したい）	安くする方法	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「安くする方法」
485	仲介手数料 安くする	39	170	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
486	仲介手数料 家賃	37	210	記事	Know（手数料の計算ルールを知りたい）	賃料・管理費関連	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃料・管理費関連」
487	仲介手数料 安い 賃貸	25	210	記事	Know（賃貸で手数料を安くする方法を知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
488	仲介手数料 家賃より高い	44	70	記事	Do（高すぎる手数料に対処したい）	高い場合の対処	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「高い場合の対処」
489	仲介手数料 家賃の半分	45	30	記事	Know（手数料の計算ルールを知りたい）	賃料・管理費関連	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃料・管理費関連」
490	仲介手数料 安いところ	46	50	記事	Buy（手数料を安くする方法を探したい）	安くする方法	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「安くする方法」
491	仲介手数料 融資	N/A	10	記事	Know（特殊なケースの手数料を知りたい）	その他（要確認）	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	その他 → article-12に振り分け
492	仲介手数料 輸出免税	27	0	削除						
493	仲介手数料 輸入	17	0	削除						
494	仲介手数料 友人	23	0	削除						
495	仲介手数料 輸入申告	N/A	0	削除						
496	ゆーみーらいふ 仲介手数料	N/A	0	削除						
497	ユニライフ 仲介手数料	34	30	削除		ブランドKW				ブランドKW
498	ユニライフ 仲介手数料 いくら	34	10	削除		ブランドKW				ブランドKW
499	融資利用の特約による解除 仲介手数料	22	0	削除						
500	ユウキホーム 仲介手数料	21	10	記事	Know（特定会社の手数料を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
501	仲介手数料 読み方	24	90	記事	Know（仲介手数料の仕組みを理解したい）	基礎解説（guide強化）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「基礎解説（guide強化）」
502	仲介手数料 ランキング	50	30	記事	Buy（安い不動産会社を見つけたい）	比較・ランキング	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「比較・ランキング」
503	仲介手数料 ランキング 不動産	N/A	0	削除						
504	仲介手数料 ランキング 賃貸	51	0	削除						
505	仲介手数料 無料 ライン	N/A	0	削除						
506	ラキア不動産 仲介手数料	N/A	0	削除						
507	ラテルーム 仲介手数料	34	50	削除		ブランドKW				ブランドKW
508	ライフルホームズ 仲介手数料	38	0	削除						
509	ライフハウジング 仲介手数料	15	10	記事	Know（特定会社の手数料を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
510	ライフクリエイト 仲介手数料	13	10	記事	Know（特定会社の手数料を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
511	ラックハウジング 仲介手数料	17	20	削除		ブランドKW				ブランドKW
512	仲介手数料 領収書 印紙	33	140	記事	Do（書類・帳票を作成したい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
513	仲介手数料 両手	25	110	記事	Know（業界の仕組み・慣習を知りたい）	仕組み解説	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「仕組み解説」
514	仲介手数料 領収書	25	170	記事	Do（書類・帳票を作成したい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
515	仲介手数料 両手 違法	39	90	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
516	仲介手数料 両手とは	41	20	記事	Know（仲介手数料の仕組みを理解したい）	基礎解説（guide強化）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「基礎解説（guide強化）」
517	仲介手数料 両手 上限	42	50	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
518	仲介手数料 両方から	42	0	削除						
519	仲介手数料 率	42	40	記事	Know（手数料の計算ルールを知りたい）	費用の内訳	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	トピック「費用の内訳」
520	仲介手数料 領収書 但し書き	31	20	記事	Do（書類・帳票を作成したい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
521	仲介手数料 料率	47	10	記事	Know（手数料の計算ルールを知りたい）	費用の内訳	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	トピック「費用の内訳」
522	仲介手数料 ルール	30	20	記事	Know（仲介手数料の仕組みを理解したい）	基礎解説（guide強化）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「基礎解説（guide強化）」
523	不動産 仲介手数料 ルール	N/A	0	削除						
524	賃貸 仲介手数料 ルール	N/A	0	削除						
525	ルームコア 仲介手数料	24	50	削除		ブランドKW				ブランドKW
526	ルームワン 仲介手数料	15	50	削除		ブランドKW				ブランドKW
527	ルームセレクト 仲介手数料 いくら	33	40	削除		ブランドKW				ブランドKW
528	ルームコネクト 仲介手数料	N/A	0	削除						
529	ルームピア 仲介手数料	14	30	削除		ブランドKW				ブランドKW
530	ルームズ賃貸 仲介手数料	23	30	削除		ブランドKW				ブランドKW
531	ルームセレクト 仲介手数料	47	10	削除		ブランドKW				ブランドKW
532	仲介手数料 礼金	42	50	記事	Know（初期費用の全体像を把握したい）	初期費用比較	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	トピック「初期費用比較」
533	仲介手数料 礼金 違い	22	320	記事	Know（初期費用の全体像を把握したい）	初期費用比較	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	トピック「初期費用比較」
534	仲介手数料 礼金 交渉	47	40	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
535	仲介手数料 廉価	42	0	削除						
536	仲介手数料 〇円	N/A	0	削除						
537	仲介手数料 礼金 無料	26	10	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
538	仲介手数料 礼金 なし	N/A	0	削除						
539	仲介手数料 礼金 別	N/A	0	削除						
540	仲介手数料 レオパレス	N/A	0	削除						
541	仲介手数料 例	45	0	削除						
542	仲介手数料 ローン	30	90	記事	Know（ローンに手数料を含められるか知りたい）	ローン関連	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「ローン関連」
543	仲介手数料 6万円とは	N/A	20	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
544	仲介手数料 ローンに組み込む	29	110	記事	Know（支払い方法の選択肢を知りたい）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
545	仲介手数料 ローン特約	20	10	記事	Know（ローンに手数料を含められるか知りたい）	ローン関連	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「ローン関連」
546	仲介手数料 ローン手数料	N/A	0	削除						
547	仲介手数料 分かれとは	N/A	90	記事	Know（仲介手数料の仕組みを理解したい）	基礎解説（guide強化）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「基礎解説（guide強化）」
548	仲介手数料 割引	27	140	記事	Buy（手数料を安くする方法を探したい）	安くする方法	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「安くする方法」
549	仲介手数料 割引 交渉	43	20	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
550	仲介手数料 分かれ	23	90	記事	Know（業界の仕組み・慣習を知りたい）	仕組み解説	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「仕組み解説」
551	仲介手数料 割合	42	50	記事	Know（手数料の計算ルールを知りたい）	費用の内訳	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	トピック「費用の内訳」
552	仲介手数料 割引 不動産	44	50	記事	Know（不動産取引の手数料全体を知りたい）	不動産関連	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「不動産関連」
553	仲介手数料 割引 キャンペーン	N/A	0	削除						
554	仲介手数料 分かれ 片手	N/A	0	削除						
555	仲介手数料 割引 賃貸	30	30	記事	Know（賃貸の手数料ルールを知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
556	仲介手数料 分かれ 賃貸	28	0	削除						
557	ntt 仲介手数料	N/A	0	削除						
558	仲介手数料 ガイドライン	42	30	記事	Know（法律上の上限ルールを確認したい）	その他（要確認）	article-13	/tools/brokerage/reform-2024	2024年仲介手数料の法改正	その他 → article-13に振り分け
559	仲介手数料 会社によって違う	24	10	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
560	仲介手数料 額	N/A	10	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
561	仲介手数料 概算	30	0	削除						
562	仲介手数料 買付手数料 違い	N/A	0	削除						
563	仲介手数料 学長	N/A	0	削除						
564	仲介手数料 学割	N/A	0	削除						
565	仲介手数料 外形標準課税	N/A	0	削除						
566	仲介手数料 ガイドライン 賃貸	N/A	0	削除						
567	エイブル 仲介手数料 学割	N/A	10	削除		ブランドKW				ブランドKW
568	仲介手数料 業務委託料	19	10	記事	Know（業界の仕組み・慣習を知りたい）	業界の仕組み	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「業界の仕組み」
569	仲介手数料 義務	N/A	10	記事	Know（法律上の上限ルールを確認したい）	その他（要確認）	article-07	/tools/brokerage/law	仲介手数料の上限と法律	その他 → article-07に振り分け
570	仲介手数料 業法	30	10	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
571	仲介手数料 業者売主	N/A	10	記事	Know（売主・買主どちらが負担するか知りたい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
572	仲介手数料 業者間	30	10	記事	Know（業界の仕組み・慣習を知りたい）	業界の仕組み	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「業界の仕組み」
573	仲介手数料 逆算	33	0	削除						
574	仲介手数料 業法違反	25	0	削除						
575	仲介手数料 決め方	43	0	削除						
576	仲介手数料 業務委託料 違法	N/A	0	削除						
577	仲介手数料 業務委託料 違い	18	20	記事	Know（業界の仕組み・慣習を知りたい）	業界の仕組み	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「業界の仕組み」
578	仲介手数料 グループ会社	29	0	削除						
579	グランドネクスト不動産 仲介手数料	41	20	削除		ブランドKW				ブランドKW
580	グランデ 仲介手数料	23	0	削除						
581	グランディハウス 仲介手数料	30	10	削除		ブランドKW				ブランドKW
582	グランツエステート 仲介手数料	19	0	削除						
583	グランホームズ 明石 仲介手数料	N/A	0	削除						
584	グールーム 仲介手数料	34	20	削除		ブランドKW				ブランドKW
585	グッドリビング 仲介手数料	24	0	削除						
586	グッドルーム 仲介手数料	40	10	削除		ブランドKW				ブランドKW
587	グローバルセンター 仲介手数料	34	0	削除						
588	仲介手数料 減価償却	32	50	記事	Know（資産計上の方法を知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
589	仲介手数料 原則	41	30	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-07	/tools/brokerage/law	仲介手数料の上限と法律	その他 → article-07に振り分け
590	仲介手数料 減額	47	30	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
591	仲介手数料 減額交渉	N/A	10	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
