No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	解決ニーズ	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
338	＋α	仲介手数料 低廉な空き家	34	50	削除	Know（空き家の仲介手数料を知りたい）	800万円以下の低廉な空き家の仲介手数料特例を知りたい	空き家	解説	解説記事	空き家	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
339	＋α	仲介手数料 低廉	40	30	削除	Know（仲介手数料の概要を知りたい）	800万円以下の低廉な空き家の仲介手数料特例を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
340	＋α	仲介手数料 手付金	33	50	削除	Know（仲介手数料の概要を知りたい）	仲介手数料と手付金の違い・支払い順序を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
341	＋α	仲介手数料 手付解除	27	20	削除	Do（仲介手数料の解除手続きを知りたい）	手付解除した場合の仲介手数料の扱いを知りたい	手続き・対策	ハウツー	ハウツー記事	解除・抹消	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	補足	解説記事
342	＋α	仲介手数料 定額	27	50	削除	Know（仲介手数料の概要を知りたい）	仲介手数料が定額制の不動産会社があるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
343	＋α	仲介手数料 手数料	N/A	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料と他の手数料の違いを整理したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
344	＋α	仲介手数料 店舗	N/A	10	削除	Know（仲介手数料の概要を知りたい）	店舗賃貸の仲介手数料の相場を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
345	＋α	仲介手数料 低額	44	0	削除				解説		検索なし			対象外	不要	
346	＋α	仲介手数料 定義	45	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の正式な定義を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
347	＋α	仲介手数料 低廉 800万円	29	0	削除				解説		検索なし			対象外	不要	
348	＋α	仲介手数料 とは	28	2400	記事	Know（仲介手数料の仕組みを理解したい）	仲介手数料とは何か基本を理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
349	＋α	仲介手数料 土地	39	260	記事	Know（不動産取引の手数料を知りたい）	土地売買の仲介手数料を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
350	＋α	仲介手数料 特例	44	40	削除	Know（仲介手数料の控除・軽減を知りたい）	仲介手数料の特例（低廉物件等）の内容を知りたい	控除・特例	解説	解説記事	控除・特例	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
351	＋α	仲介手数料 土地 計算	30	70	計算ページ	Do（正確な金額を計算したい）	自分の物件の仲介手数料を正確に計算したい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
352	＋α	仲介手数料 土地 消費税	27	30	削除	Know（消費税がかかるか確認したい）	仲介手数料にかかる消費税の扱いを知りたい	税金	解説	解説記事	消費税解説	仲介手数料_消費税解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	補足	解説記事
353	＋α	仲介手数料 土地売買	40	1300	記事	Know（不動産取引の手数料を知りたい）	不動産売買の仲介手数料を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
354	＋α	仲介手数料 土地建物 按分	28	40	削除	Know（不動産取引の手数料を知りたい）	仲介手数料の按分方法を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
355	＋α	仲介手数料 土地 取得価額	22	20	削除	Know（不動産取引の手数料を知りたい）	仲介手数料の具体的な金額を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
356	＋α	仲介手数料 当方不払い	N/A	0	削除				解説		検索なし			対象外	不要	
357	＋α	仲介手数料 土地 建物	52	30	削除	Know（不動産取引の手数料を知りたい）	建物の仲介手数料の計算方法を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
358	＋α	仲介手数料 なし	35	480	記事	Know（仲介手数料の概要を知りたい）	仲介手数料なし（無料）の不動産会社があるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料値引き	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
359	＋α	仲介手数料 なし 賃貸	25	590	記事	Know（賃貸の手数料ルールを知りたい）	賃貸物件の仲介手数料がいくらか知りたい	賃貸	解説	ガイド記事	賃貸特化	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
360	＋α	仲介手数料 何パーセント	43	90	記事	Know（仲介手数料の具体例を知りたい）	仲介手数料が物件価格の何%か知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
361	＋α	仲介手数料 なし 不動産	34	480	記事	Know（不動産取引の手数料を知りたい）	不動産売買の仲介手数料を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
362	＋α	仲介手数料 なくすには	48	40	削除	Know（仲介手数料の概要を知りたい）	仲介手数料をなくす方法があるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	必須	ハウツー
363	＋α	仲介手数料 なしにする方法	28	110	記事	Do（仲介手数料の手続き・対策を知りたい）	仲介手数料の手続き・対策を知りたい	手続き・対策	ハウツー	ハウツー記事	手続き・対策	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
364	＋α	仲介手数料 何ヶ月分	45	40	削除	Know（仲介手数料の概要を知りたい）	仲介手数料が家賃何ヶ月分か知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
365	＋α	仲介手数料 ない場合	N/A	0	削除				解説		検索なし			対象外	不要	
366	＋α	仲介手数料 なんj	23	0	削除				解説		検索なし			対象外	不要	
367	＋α	仲介手数料 何回払う	44	0	削除				解説		検索なし			対象外	不要	
368	＋α	仲介手数料 二重取り	20	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の二重取りが違法かどうか確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
369	＋α	仲介手数料 ニッショー	35	260	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
370	＋α	仲介手数料 二重	20	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の二重取りが違法かどうか確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
371	＋α	仲介手数料 二ヶ月分	24	0	削除				解説		検索なし			対象外	不要	
372	＋α	仲介手数料 20万円以上 国税庁	N/A	0	削除				解説		検索なし			対象外	不要	
373	＋α	仲介手数料 抜き行為	27	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の抜き行為（中抜き）が問題ないか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
374	＋α	仲介手数料 値切る	37	880	記事	Know（仲介手数料の概要を知りたい）	仲介手数料を値切る方法・コツを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	必須	ハウツー
375	＋α	仲介手数料 値引き交渉	44	110	記事	Do（手数料を値引き交渉したい）	仲介手数料の交渉方法・成功するコツを知りたい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料値引き	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
376	＋α	仲介手数料 値引き	37	210	記事	Do（手数料を値引き交渉したい）	手数料を値引き交渉したい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料値引き	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
377	＋α	仲介手数料 値切る客	35	1000	記事	Know（仲介手数料の概要を知りたい）	仲介手数料を値切る方法・コツを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	必須	ハウツー
378	＋α	仲介手数料 値切り方	46	50	削除	Do（手数料を値引き交渉したい）	手数料を値引き交渉したい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
379	＋α	仲介手数料 値下げ	43	40	削除	Know（手数料を安くする方法を知りたい）	仲介手数料の値下げ交渉のやり方を知りたい	値引き・節約	ハウツー	ガイド記事	割引方法	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
380	＋α	仲介手数料 値切る 賃貸	43	20	削除	Know（賃貸の手数料ルールを知りたい）	仲介手数料を値切る方法・コツを知りたい	賃貸	解説	ガイド記事	賃貸特化	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
381	＋α	仲介手数料 値段	44	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料がいくらかかるか金額を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
382	＋α	仲介手数料 値切れる	28	880	記事	Know（仲介手数料の概要を知りたい）	仲介手数料は実際に値切れるのか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	必須	ハウツー
383	＋α	仲介手数料 値引きできる	N/A	0	削除				解説		検索なし			対象外	不要	
384	＋α	仲介手数料 載ってない	41	0	削除				解説		検索なし			対象外	不要	
385	＋α	仲介手数料 ノルマ	41	0	削除				解説		検索なし			対象外	不要	
386	＋α	仲介手数料 野村不動産	45	0	削除			特定企業	解説		検索なし			対象外	不要	
387	＋α	仲介手数料 のれん	N/A	0	削除				解説		検索なし			対象外	不要	
388	＋α	仲介手数料 農地	N/A	0	削除				解説		検索なし			対象外	不要	
389	＋α	m&a 仲介手数料 のれん	N/A	0	削除				解説		検索なし			対象外	不要	
390	＋α	野村不動産 仲介手数料 割引	29	70	削除	Know（不動産取引の手数料を知りたい）		特定企業	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	不要	
391	＋α	野村の仲介 仲介手数料	45	20	削除	Know（仲介手数料の概要を知りたい）		特定企業	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	不要	
392	＋α	野村 仲介手数料 割引	N/A	0	削除			特定企業	解説		検索なし			対象外	不要	
393	＋α	農地売買 仲介手数料	23	40	削除	Know（不動産取引の手数料を知りたい）	不動産売買の仲介手数料を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
394	＋α	仲介手数料 半額	34	480	記事	Know（手数料を安くする方法を知りたい）	仲介手数料の具体的な金額を知りたい	値引き・節約	ハウツー	ガイド記事	割引方法	仲介手数料値引き	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
395	＋α	仲介手数料 半額 不動産	35	320	記事	Know（不動産取引の手数料を知りたい）	不動産取引の手数料を知りたい	値引き・節約	解説	ガイド記事	不動産売買	仲介手数料値引き	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
396	＋α	仲介手数料 払わなくていい	49	50	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を払わなくていいケースがあるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	必須	ハウツー
397	＋α	仲介手数料 払いたくない	34	140	記事	Know（仲介手数料の概要を知りたい）	仲介手数料を払わずに済む方法があるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	必須	ハウツー
398	＋α	仲介手数料 半月	29	50	削除	Know（仲介手数料の概要を知りたい）	仲介手数料0.55ヶ月分（半額）の根拠を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
399	＋α	仲介手数料 払うタイミング	45	40	削除	Know（仲介手数料の時期を知りたい）	仲介手数料を払うタイミング（契約時？引渡時？）を確認したい	時期・スケジュール	解説	ガイド記事	時期・スケジュール	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	補足	解説記事
400	＋α	仲介手数料 半分	N/A	40	削除	Know（仲介手数料の概要を知りたい）	仲介手数料0.55ヶ月分（半額）の根拠を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
401	＋α	仲介手数料 半金	26	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を半金（半額ずつ2回）で払うのか確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	必須	解説記事
402	＋α	仲介手数料 比較	42	50	削除	Buy（安い不動産会社を見つけたい）	不動産会社の仲介手数料を比較したい	値引き・節約	比較・解説	比較記事	安い不動産会社	仲介手数料値引き	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
403	＋α	仲介手数料 非課税	43	30	削除	Know（仲介手数料の控除・軽減を知りたい）	仲介手数料が課税対象か非課税か確認したい	控除・特例	解説	解説記事	控除・特例	仲介手数料_消費税解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	補足	解説記事
404	＋α	仲介手数料 100万円	43	10	削除	Know（金額別の仲介手数料を知りたい）	100万円の物件の仲介手数料がいくらか知りたい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
405	＋α	仲介手数料 必要経費	32	10	削除	Do（仕訳・勘定科目を調べたい）	仲介手数料を経費として処理する方法を知りたい	会計処理	実務ガイド	解説記事	会計処理	仲介手数料_会計処理	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	補足	解説記事
406	＋α	仲介手数料 費用計上	33	10	削除	Do（仲介手数料の会計処理を調べたい）	仲介手数料の会計処理を調べたい	会計処理	実務ガイド	解説記事	会計処理	仲介手数料_会計処理	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	補足	解説記事
407	＋α	仲介手数料 必要	43	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料が本当に必要なのか確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
408	＋α	仲介手数料 100万円以下	42	30	削除	Know（金額別の仲介手数料を知りたい）	物件価格100万円以下の場合の仲介手数料を計算したい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
409	＋α	仲介手数料 費用	47	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料がどの程度の費用になるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
410	＋α	仲介手数料 非課税業者	N/A	10	削除	Know（仲介手数料の控除・軽減を知りたい）	仲介手数料の控除・軽減を知りたい	控除・特例	解説	解説記事	控除・特例	仲介手数料_消費税解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	補足	解説記事
411	＋α	仲介手数料 一人暮らし	N/A	90	削除	Know（仲介手数料の概要を知りたい）	一人暮らしの賃貸で仲介手数料がいくらか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
412	＋α	仲介手数料 不要	34	90	記事	Know（仲介手数料がゼロ・不要のケースを知りたい）	仲介手数料が不要なケースを知りたい	控除・特例	解説	解説記事	非課税・ゼロ	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
413	＋α	仲介手数料 平均	31	170	記事	Know（いくら払うのか相場を知りたい）	仲介手数料の平均金額を知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	補足	解説記事
414	＋α	仲介手数料 返金	28	50	削除	Know（仲介手数料の還付を知りたい）	契約キャンセル時に仲介手数料が返金されるか知りたい	控除・特例	解説	解説記事	還付	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	補足	ピラーページ
415	＋α	仲介手数料 変更	22	40	削除	Know（仲介手数料の改正内容を知りたい）	仲介手数料の改正内容を知りたい	法律・制度	解説	解説記事	法改正	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
416	＋α	仲介手数料 減らす方法	N/A	0	削除				解説		検索なし			対象外	不要	
417	＋α	仲介手数料 平均 賃貸	N/A	10	削除	Know（いくら払うのか相場を知りたい）	賃貸物件の仲介手数料がいくらか知りたい	賃貸	データ一覧	ガイド記事	相場ガイド	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
418	＋α	仲介手数料 返還請求	29	10	削除	Know（仲介手数料の還付を知りたい）	支払った仲介手数料を返還請求できるか・方法を知りたい	控除・特例	解説	解説記事	還付	仲介手数料_領収書書類	仲介手数料の領収書・請求書・契約書｜印紙税と書式を解説	権威構築	補足	解説記事
419	＋α	仲介手数料 法律	26	390	記事	Know（法律上の上限ルールを確認したい）	法律上の上限ルールを確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
420	＋α	仲介手数料 法律 上限	24	110	記事	Know（法律上の上限ルールを確認したい）	仲介手数料の法定上限額を確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
421	＋α	仲介手数料 法改正	34	70	記事	Know（仲介手数料の改正内容を知りたい）	仲介手数料の法改正の内容を知りたい	法律・制度	解説	解説記事	法改正	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
422	＋α	仲介手数料 法定	46	40	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の法定上限額を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
423	＋α	仲介手数料 法定調書	33	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の法定調書の作成方法を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
424	＋α	仲介手数料 法定手数料	N/A	0	削除				解説		検索なし			対象外	不要	
425	＋α	仲介手数料 報酬額	46	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の具体的な金額を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
426	＋α	仲介手数料 本体価格	N/A	0	削除				解説		検索なし			対象外	不要	
427	＋α	仲介手数料 法人税	N/A	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料に関する税金の扱いを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	必須	解説記事
428	＋α	仲介手数料 ホームメイト	34	480	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
429	＋α	仲介手数料 マンション	26	590	記事	Know（不動産取引の手数料を知りたい）	マンション売買の仲介手数料を知りたい	住宅タイプ別	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	補足	解説記事
430	＋α	仲介手数料 満額	50	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の満額（上限いっぱい）がいくらか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
431	＋α	仲介手数料 毎月払う	30	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料は毎月の支払いか一括か確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	必須	解説記事
432	＋α	仲介手数料 マンション売却	38	720	記事	Know（不動産取引の手数料を知りたい）	不動産売却時の仲介手数料がいくらか知りたい	住宅タイプ別	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	補足	解説記事
433	＋α	仲介手数料 マンション購入	25	260	記事	Know（不動産取引の手数料を知りたい）	不動産購入時の仲介手数料を知りたい	住宅タイプ別	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	補足	解説記事
434	＋α	仲介手数料 マックス	44	0	削除				解説		検索なし			対象外	不要	
435	＋α	仲介手数料 前払い	28	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の前払い処理の方法を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
436	＋α	仲介手数料 前払費用	32	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料がどの程度の費用になるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
437	＋α	仲介手数料 マージン	42	0	削除				解説		検索なし			対象外	不要	
438	＋α	仲介手数料 満額とは	N/A	0	削除				解説		検索なし			対象外	不要	
439	＋α	仲介手数料 ミニミニ	34	1600	削除	Know（ミニミニの仲介手数料を知りたい）		特定企業	解説	ガイド記事	特定企業	仲介手数料_特定企業		権威構築	不要	
440	＋α	仲介手数料 見積書	22	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の見積書に記載すべき内容を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_領収書書類	仲介手数料の領収書・請求書・契約書｜印紙税と書式を解説	権威構築	必須	解説記事
441	＋α	仲介手数料 三井のリハウス	34	260	削除	Know（仲介手数料の概要を知りたい）		特定企業	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	不要	
442	＋α	仲介手数料 見方	41	0	削除				解説		検索なし			対象外	不要	
443	＋α	仲介手数料 未払い	41	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を未払いにした場合どうなるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
444	＋α	仲介手数料 無料	34	4400	記事	Know（無料の不動産会社を探したい）	仲介手数料が無料の不動産会社の仕組みを知りたい	値引き・節約	比較・解説	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
445	＋α	仲介手数料 無料 不動産	26	1300	記事	Know（無料の不動産会社を探したい）	仲介手数料無料の不動産会社を探したい	値引き・節約	比較・解説	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
446	＋α	仲介手数料 無料 賃貸	22	1900	記事	Know（無料の不動産会社を探したい）	仲介手数料無料の賃貸物件を探したい	値引き・節約	比較・解説	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
447	＋α	仲介手数料 無料 なぜ	34	480	記事	Know（無料の裏側・デメリットが不安）	仲介手数料が無料にできる理由を知りたい	値引き・節約	ハウツー	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
448	＋α	仲介手数料 無料 からくり	34	880	記事	Know（無料の裏側・デメリットが不安）	仲介手数料無料のからくり・裏側を知りたい	値引き・節約	ハウツー	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
449	＋α	仲介手数料 無料 大阪	22	590	削除				解説		地域KW			対象外	不要	
450	＋α	仲介手数料 無料 サイト	19	140	記事	Know（無料の不動産会社を探したい）	仲介手数料が無料の不動産会社の仕組みを知りたい	値引き・節約	比較・解説	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
451	＋α	仲介手数料 無料 デメリット	34	480	記事	Know（無料の裏側・デメリットが不安）	仲介手数料を払うメリット・払わない場合のリスクを知りたい	値引き・節約	ハウツー	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
