No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
406	＋α	不動産投資 年収いくらから	29	110	記事	Know（年収別の投資戦略を知りたい）	計算方法	解説	ガイド記事	年収別	不動産投資計算	不動産投資の計算方法・シミュレーション	権威構築	必須	計算ツール
407	＋α	不動産投資 年収1000万	46	70	記事	Know（年収別の投資戦略を知りたい）	その他	解説	ガイド記事	年収別	不動産投資_年収別		権威構築	補足
408	＋α	不動産投資 年収の何倍	49	0	削除			解説		検索なし			対象外	不要
409	＋α	不動産投資 年末調整 確定申告	N/A	10	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資申告		権威構築	補足
410	＋α	不動産投資 note	36	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
411	＋α	不動産投資 ノンバンク	40	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
412	＋α	不動産投資 noi	N/A	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
413	＋α	不動産投資 noi利回り	N/A	10	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
414	＋α	不動産投資 ノウハウ	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
415	＋α	不動産投資 ノート	N/A	0	削除			解説		検索なし			対象外	不要
416	＋α	不動産投資 野村	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
417	＋α	不動産投資 野村證券	N/A	0	削除			解説		検索なし			対象外	不要
418	＋α	不動産投資 納税証明書	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
419	＋α	不動産投資 ノンバンク ランキング	33	0	削除			解説		検索なし			対象外	不要
420	＋α	不動産投資 始め方	31	720	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
421	＋α	不動産投資 破産率	31	70	記事	Know（不動産投資の滞納・困りごとを知りたい）	税金	解説	解説記事	滞納・困りごと	不動産投資税率		権威構築	補足
422	＋α	不動産投資 初めての物件	32	50	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
423	＋α	不動産投資 破産	38	50	記事	Know（不動産投資の滞納・困りごとを知りたい）	その他	解説	解説記事	滞納・困りごと	不動産投資_滞納・困りごと		権威構築	補足
424	＋α	不動産投資 始め方 初心者	33	20	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
425	＋α	不動産投資 はじめ方	N/A	720	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
426	＋α	不動産投資 配当	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
427	＋α	不動産投資 破綻	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
428	＋α	不動産投資 浜松	N/A	30	削除			解説		地域KW			対象外	不要
429	＋α	不動産投資 始めるタイミング	N/A	10	記事	Know（不動産投資の時期を知りたい）	時期・スケジュール	解説	ガイド記事	時期・スケジュール	不動産投資_時期・スケジュール		権威構築	補足
430	＋α	不動産投資 表面利回り 目安	46	50	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
431	＋α	不動産投資 表面利回り	N/A	70	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
432	＋α	不動産投資 広島	27	140	削除			解説		地域KW			対象外	不要
433	＋α	不動産投資 比較	31	170	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
434	＋α	不動産投資 費用	N/A	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
435	＋α	不動産投資 必要資金	N/A	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
436	＋α	不動産投資 一部屋だけ	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
437	＋α	不動産投資 費用 一覧	48	20	記事	Know（不動産投資の金額・相場を知りたい）	税金	データ一覧	ガイド記事	相場ガイド	不動産投資税率		権威構築	補足
438	＋α	不動産投資 一部屋	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
439	＋α	不動産投資 副業	27	390	記事	Know（年収別の投資戦略を知りたい）	その他	解説	ガイド記事	年収別	不動産投資_年収別		権威構築	補足
440	＋α	不動産投資 福岡	36	480	削除			解説		地域KW			対象外	不要
441	＋α	不動産投資 ふるさと納税	29	140	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
442	＋α	不動産投資 フルローン	32	210	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
443	＋α	不動産投資 フルローン 銀行	33	70	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
444	＋α	不動産投資 副業になるのか	N/A	30	記事	Know（年収別の投資戦略を知りたい）	その他	解説	ガイド記事	年収別	不動産投資_年収別		権威構築	補足
445	＋α	不動産投資 fire	28	140	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
446	＋α	不動産投資 ファンド	33	260	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
447	＋α	不動産投資 ふるさと納税 限度額	31	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
448	＋α	不動産投資 不労所得	32	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
449	＋α	不動産投資 平均利回り	29	170	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
450	＋α	不動産投資 返済比率	29	140	記事	Know（不動産での不動産投資を知りたい）	税金	解説	解説記事	不動産特化	不動産投資税率		権威構築	補足
451	＋α	不動産投資 返済比率 目安	30	20	記事	Know（不動産投資の金額・相場を知りたい）	税金	データ一覧	ガイド記事	相場ガイド	不動産投資税率		権威構築	補足
452	＋α	不動産投資 返済シミュレーション	33	30	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
453	＋α	不動産投資 変動金利	33	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
454	＋α	不動産投資 返済期間	31	10	記事	Know（不動産投資の時期を知りたい）	時期・スケジュール	解説	ガイド記事	時期・スケジュール	不動産投資_時期・スケジュール		権威構築	補足
455	＋α	不動産投資 返済比率70	25	20	記事	Know（不動産での不動産投資を知りたい）	税金	解説	解説記事	不動産特化	不動産投資税率		権威構築	補足
456	＋α	不動産投資 返済 経費	N/A	0	削除			解説		検索なし			対象外	不要
457	＋α	不動産投資 平均	N/A	10	記事	Know（不動産投資の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	不動産投資_相場ガイド		権威構築	補足
458	＋α	不動産投資 返済比率60	27	30	記事	Know（不動産での不動産投資を知りたい）	税金	解説	解説記事	不動産特化	不動産投資税率		権威構築	補足
459	＋α	不動産投資 法人化	33	260	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
460	＋α	不動産投資 法人	33	260	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
461	＋α	不動産投資 法人化 メリット	29	40	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
462	＋α	不動産投資 方法	N/A	70	記事	Do（不動産投資の手続き・対策を知りたい）	手続き・対策	ハウツー	ハウツー記事	手続き・対策	不動産投資_手続き・対策		権威構築	補足
463	＋α	不動産投資 保険	27	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
464	＋α	不動産投資 北海道	22	210	削除			解説		地域KW			対象外	不要
465	＋α	不動産投資 マンション	30	480	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
466	＋α	不動産投資 末路	28	110	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
467	＋α	不動産投資 マンション 一室	33	70	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
468	＋α	不動産投資 マンション購入	32	30	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
469	＋α	不動産投資 漫画	N/A	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
470	＋α	不動産投資 マイクロ法人	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
471	＋α	不動産投資 マッチングアプリ	26	30	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
472	＋α	不動産投資 マンション一棟	N/A	90	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
473	＋α	不動産投資 学ぶ	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
474	＋α	不動産投資 マイナンバー	N/A	10	記事	Do（不動産投資の電子手続き・支払方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	不動産投資_支払い方法		権威構築	補足
475	＋α	不動産投資 みんなで大家さん	54	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
476	＋α	不動産投資 民泊	34	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
477	＋α	不動産投資 みんなで	57	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
478	＋α	不動産投資 三井物産	49	0	削除			解説		検索なし			対象外	不要
479	＋α	不動産投資 三井	42	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
480	＋α	不動産投資 見通し	40	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
481	＋α	不動産投資 魅力	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
482	＋α	不動産投資 三井住友	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
483	＋α	不動産投資 三井のリハウス	42	0	削除			解説		検索なし			対象外	不要
484	＋α	不動産投資 三井住友銀行	62	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
485	＋α	不動産投資 難しい	32	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
486	＋α	不動産投資 向いている人	29	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
487	＋α	不動産投資 難しさ	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
488	＋α	不動産投資 無職	24	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
489	＋α	不動産投資 無理ゲー	49	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
490	＋α	不動産投資 メリット	30	590	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
491	＋α	不動産投資 メリット デメリット	33	170	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
492	＋α	不動産投資 迷惑電話 なぜ	29	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
493	＋α	不動産投資 面談	N/A	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
494	＋α	不動産投資 名著	25	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
495	＋α	不動産投資 迷惑電話	24	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
496	＋α	不動産投資 めんどくさい	44	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
497	＋α	不動産投資 メリデメ	N/A	0	削除			解説		検索なし			対象外	不要
498	＋α	不動産投資 銘柄	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
499	＋α	不動産投資 目安	N/A	10	記事	Know（不動産投資の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	不動産投資_相場ガイド		権威構築	補足
500	＋α	不動産投資 儲からない	39	210	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
501	＋α	不動産投資 元手	41	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
502	＋α	不動産投資 儲かる	37	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
503	＋α	不動産投資 儲かるのか	33	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
504	＋α	不動産投資 目的	32	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
505	＋α	不動産投資 元金	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
506	＋α	不動産投資 持ち出し	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
507	＋α	不動産投資 儲かる仕組み	33	50	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
508	＋α	不動産投資 目標利回り	50	10	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
509	＋α	不動産投資 儲け方	33	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
510	＋α	不動産投資 やり方	33	390	記事	Do（不動産投資の手続き・対策を知りたい）	手続き・対策	ハウツー	ハウツー記事	手続き・対策	不動産投資_手続き・対策		権威構築	補足
511	＋α	不動産投資 やばい会社	31	90	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
512	＋α	不動産投資 家賃収入	49	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
513	＋α	不動産投資 家賃保証	N/A	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
514	＋α	不動産投資 やめたい	29	110	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
515	＋α	不動産投資 やめたほうがいい	N/A	10	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
516	＋α	不動産投資 やるべきか	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
517	＋α	不動産投資 家賃収入 税金	50	10	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
518	＋α	不動産投資 融資	55	390	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
519	＋α	不動産投資 融資 銀行	33	170	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
520	＋α	不動産投資 融資 金利	50	50	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
521	＋α	不動産投資 ユーチューブ	N/A	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
522	＋α	不動産投資 ユーチューバー	N/A	0	削除			解説		検索なし			対象外	不要
523	＋α	不動産投資 融資 シミュレーション	55	10	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
524	＋α	不動産投資 融資 年収	33	20	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
525	＋α	不動産投資 融資 いくらまで	32	20	記事	Know（不動産投資ローンを知りたい）	計算方法	解説	解説記事	ローン	不動産投資計算	不動産投資の計算方法・シミュレーション	権威構築	必須	計算ツール
526	＋α	不動産投資 融資戦略	28	10	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
527	＋α	不動産投資 融資額	45	10	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
528	＋α	不動産投資 youtube	35	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
529	＋α	不動産投資 用語	N/A	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
530	＋α	不動産投資 予算	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
531	＋α	不動産投資 youtube おすすめ	39	10	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
532	＋α	不動産投資 与信枠	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
533	＋α	不動産投資 横浜	40	140	削除			解説		地域KW			対象外	不要
534	＋α	不動産投資 与信	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
535	＋α	不動産投資 youtuber	36	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
536	＋α	不動産投資 用語集	25	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
537	＋α	不動産投資 読むべき本	49	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
538	＋α	不動産投資 ランキング	30	260	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
539	＋α	不動産投資 楽待	40	170	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
540	＋α	不動産投資 楽天	47	110	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
541	＋α	不動産投資 楽天証券	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
542	＋α	不動産投資 ランニングコスト 一覧	28	30	記事	Know（不動産投資の金額・相場を知りたい）	税金	データ一覧	ガイド記事	相場ガイド	不動産投資税率		権威構築	補足
543	＋α	不動産投資 らくたま	N/A	0	削除			解説		検索なし			対象外	不要
544	＋α	不動産投資 ライフ	N/A	0	削除			解説		検索なし			対象外	不要
545	＋α	不動産投資 ラクサス	N/A	0	削除			解説		検索なし			対象外	不要
546	＋α	不動産投資 ランニングコスト 目安	26	20	記事	Know（不動産投資の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	不動産投資_相場ガイド		権威構築	補足
547	＋α	不動産投資 ランキング 日本	54	0	削除			解説		検索なし			対象外	不要
548	＋α	不動産投資 リノシー	42	260	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
549	＋α	不動産投資 リート	52	260	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
550	＋α	不動産投資 ルール	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
551	＋α	ループ 不動産投資	N/A	0	削除			解説		検索なし			対象外	不要
552	＋α	ルーブル 不動産投資	33	0	削除			解説		検索なし			対象外	不要
553	＋α	不動産投資 reit	N/A	260	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
554	＋α	不動産投資 レバレッジ	45	170	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
555	＋α	不動産投資 reit どっち	48	40	記事	Know（不動産投資のメリット・リスクを知りたい）	比較・検討	解説	解説記事	比較・検討	不動産投資_比較・検討		権威構築	補足
556	＋α	不動産投資 レバレッジとは	48	30	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
557	＋α	不動産投資 renosy	N/A	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
